n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,2.0,256,49.06,2048.00,Disk,1,0.0,84941.90,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Disk,1,0.0,1482.67,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Disk,1,0.0,10855.98,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Disk,1,0.0,7216.53,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Disk,1,0.0,26910.98,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Disk,1,0.0,13507.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Disk,1,0.0,16061.12,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Disk,1,0.0,3533.40,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Ball,1,0.0,5916239.87,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Ball,1,0.0,5023296.60,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Ball,1,0.0,3515901.75,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Ball,1,0.0,3210189.53,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Ball,1,0.0,247012.74,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Ball,1,0.0,72112.76,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Ball,1,0.0,344255.33,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Ball,1,0.0,45250.57,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Ball,1,0.0,95594.63,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Ball,1,0.0,24357.88,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Ball,1,0.0,8135.45,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Ball,1,0.0,7514.20,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Ball,1,0.0,444.57,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Ball,1,0.0,0.44,1.00,2,0,0,0,0.00
1,134217728,2.0,256,30.43,64.00,Line,1,0.0,1271612.09,1.00,2,0,0,0,0.00
1,134217728,2.0,256,46.43,96.00,Line,1,0.0,296951.57,1.00,2,0,0,0,0.00
