n_walkers,n_volume,mu,lmax,D,TargetShape,DiskDiameter,n_targets,fixed_target_dist,detection_time,probability
1,134217728,1.6,256,14.46,Ball_no_boundary,250,1,0.0,87770.60,1.00
1,134217728,1.6,256,300.00,Line,300,1,0.0,6207541.58,1.00
1,134217728,1.6,256,15.36,Ball_no_boundary,300,1,0.0,1292581.32,1.00
1,134217728,1.6,256,350.00,Line,350,1,0.0,4437323.78,1.00
1,134217728,1.6,256,16.16,Ball_no_boundary,350,1,0.0,467707.10,1.00
1,134217728,1.6,256,400.00,Line,400,1,0.0,1060050.16,1.00
1,134217728,1.6,256,16.90,Ball_no_boundary,400,1,0.0,1975406.43,1.00
1,134217728,1.6,256,450.00,Line,450,1,0.0,2130017.89,1.00
1,134217728,1.6,256,17.57,Ball_no_boundary,450,1,0.0,1411617.48,1.00
1,134217728,1.6,256,500.00,Line,500,1,0.0,110469.31,1.00
1,134217728,1.6,256,18.20,Ball_no_boundary,500,1,0.0,186722.79,1.00
1,134217728,1.8,256,10.00,Line,10,1,0.0,20636294.65,1.00
1,134217728,1.8,256,5.24,Ball_no_boundary,10,1,0.0,63265632.75,1.00
1,134217728,1.8,256,25.00,Line,25,1,0.0,18000136.24,1.00
1,134217728,1.8,256,6.87,Ball_no_boundary,25,1,0.0,21885672.34,1.00
1,134217728,1.8,256,50.00,Line,50,1,0.0,2943913.05,1.00
1,134217728,1.8,256,8.55,Ball_no_boundary,50,1,0.0,2212778.04,1.00
1,134217728,1.8,256,100.00,Line,100,1,0.0,2869032.72,1.00
1,134217728,1.8,256,10.70,Ball_no_boundary,100,1,0.0,2838411.37,1.00
1,134217728,1.8,256,200.00,Line,200,1,0.0,695250.61,1.00
1,134217728,1.8,256,13.43,Ball_no_boundary,200,1,0.0,186596.83,1.00
1,134217728,1.8,256,250.00,Line,250,1,0.0,1426229.91,1.00
1,134217728,1.8,256,14.46,Ball_no_boundary,250,1,0.0,410149.77,1.00
1,134217728,1.8,256,300.00,Line,300,1,0.0,1124140.66,1.00
1,134217728,1.8,256,15.36,Ball_no_boundary,300,1,0.0,4311837.62,1.00
1,134217728,1.8,256,350.00,Line,350,1,0.0,2738038.38,1.00
1,134217728,1.8,256,16.16,Ball_no_boundary,350,1,0.0,6452957.74,1.00
1,134217728,1.8,256,400.00,Line,400,1,0.0,422788.66,1.00
1,134217728,1.8,256,16.90,Ball_no_boundary,400,1,0.0,1176764.18,1.00
1,134217728,1.8,256,450.00,Line,450,1,0.0,720104.64,1.00
1,134217728,1.8,256,17.57,Ball_no_boundary,450,1,0.0,11852988.29,1.00
1,134217728,1.8,256,500.00,Line,500,1,0.0,467880.71,1.00
1,134217728,1.8,256,18.20,Ball_no_boundary,500,1,0.0,569357.90,1.00
1,134217728,2.0,256,10.00,Line,10,1,0.0,45627920.63,1.00
1,134217728,2.0,256,5.24,Ball_no_boundary,10,1,0.0,11036098.58,1.00
1,134217728,2.0,256,25.00,Line,25,1,0.0,9001863.70,1.00
1,134217728,2.0,256,6.87,Ball_no_boundary,25,1,0.0,5446698.04,1.00
1,134217728,2.0,256,50.00,Line,50,1,0.0,3821933.32,1.00
1,134217728,2.0,256,8.55,Ball_no_boundary,50,1,0.0,8209224.88,1.00
1,134217728,2.0,256,100.00,Line,100,1,0.0,783297.06,1.00
1,134217728,2.0,256,10.70,Ball_no_boundary,100,1,0.0,7571642.17,1.00
1,134217728,2.0,256,200.00,Line,200,1,0.0,401175.76,1.00
1,134217728,2.0,256,13.43,Ball_no_boundary,200,1,0.0,413281.94,1.00
1,134217728,2.0,256,250.00,Line,250,1,0.0,1321393.30,1.00
1,134217728,2.0,256,14.46,Ball_no_boundary,250,1,0.0,1057236.58,1.00
1,134217728,2.0,256,300.00,Line,300,1,0.0,385904.09,1.00
1,134217728,2.0,256,15.36,Ball_no_boundary,300,1,0.0,886528.25,1.00
1,134217728,2.0,256,350.00,Line,350,1,0.0,778579.16,1.00
1,134217728,2.0,256,16.16,Ball_no_boundary,350,1,0.0,3655615.03,1.00
1,134217728,2.0,256,400.00,Line,400,1,0.0,854209.59,1.00
1,134217728,2.0,256,16.90,Ball_no_boundary,400,1,0.0,202037.75,1.00
1,134217728,2.0,256,450.00,Line,450,1,0.0,314502.64,1.00
1,134217728,2.0,256,17.57,Ball_no_boundary,450,1,0.0,3651.84,1.00
1,134217728,2.0,256,500.00,Line,500,1,0.0,256309.92,1.00
1,134217728,2.0,256,18.20,Ball_no_boundary,500,1,0.0,3070897.03,1.00
1,134217728,2.2,256,10.00,Line,10,1,0.0,12482113.93,1.00
1,134217728,2.2,256,5.24,Ball_no_boundary,10,1,0.0,10730591.52,1.00
1,134217728,2.2,256,25.00,Line,25,1,0.0,3365336.95,1.00
1,134217728,2.2,256,6.87,Ball_no_boundary,25,1,0.0,18541466.00,1.00
1,134217728,2.2,256,50.00,Line,50,1,0.0,8887800.80,1.00
1,134217728,2.2,256,8.55,Ball_no_boundary,50,1,0.0,3063869.51,1.00
1,134217728,2.2,256,100.00,Line,100,1,0.0,131852.00,1.00
1,134217728,2.2,256,10.70,Ball_no_boundary,100,1,0.0,2424131.99,1.00
1,134217728,2.2,256,200.00,Line,200,1,0.0,146866.59,1.00
1,134217728,2.2,256,13.43,Ball_no_boundary,200,1,0.0,3078279.22,1.00
1,134217728,2.2,256,250.00,Line,250,1,0.0,2334621.72,1.00
1,134217728,2.2,256,14.46,Ball_no_boundary,250,1,0.0,903339.89,1.00
1,134217728,2.2,256,300.00,Line,300,1,0.0,117724.59,1.00
1,134217728,2.2,256,15.36,Ball_no_boundary,300,1,0.0,4202306.68,1.00
1,134217728,2.2,256,350.00,Line,350,1,0.0,1446124.22,1.00
1,134217728,2.2,256,16.16,Ball_no_boundary,350,1,0.0,2142889.71,1.00
1,134217728,2.2,256,400.00,Line,400,1,0.0,1017679.78,1.00
1,134217728,2.2,256,16.90,Ball_no_boundary,400,1,0.0,1769092.49,1.00
1,134217728,2.2,256,450.00,Line,450,1,0.0,515155.85,1.00
1,134217728,2.2,256,17.57,Ball_no_boundary,450,1,0.0,20352.15,1.00
1,134217728,2.2,256,500.00,Line,500,1,0.0,420371.34,1.00
1,134217728,2.2,256,18.20,Ball_no_boundary,500,1,0.0,721616.47,1.00
1,134217728,2.4,256,10.00,Line,10,1,0.0,28844987.08,1.00
1,134217728,2.4,256,5.24,Ball_no_boundary,10,1,0.0,1437497.35,1.00
1,134217728,2.4,256,25.00,Line,25,1,0.0,4554257.69,1.00
1,134217728,2.4,256,6.87,Ball_no_boundary,25,1,0.0,847370.88,1.00
1,134217728,2.4,256,50.00,Line,50,1,0.0,1975422.29,1.00
1,134217728,2.4,256,8.55,Ball_no_boundary,50,1,0.0,17805445.26,1.00
1,134217728,2.4,256,100.00,Line,100,1,0.0,2082352.10,1.00
1,134217728,2.4,256,10.70,Ball_no_boundary,100,1,0.0,5604289.85,1.00
1,134217728,2.4,256,200.00,Line,200,1,0.0,139889.41,1.00
1,134217728,2.4,256,13.43,Ball_no_boundary,200,1,0.0,1266907.46,1.00
1,134217728,2.4,256,250.00,Line,250,1,0.0,1282855.82,1.00
1,134217728,2.4,256,14.46,Ball_no_boundary,250,1,0.0,2399977.29,1.00
